,id,label,if1,if2,if3,if4,if5,if6,if7,if8,if9,if10,if11,if12,if13,cf1,cf2,cf3,cf4,cf5,cf6,cf7,cf8,cf9,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,day_number
0,0,0,,600.0,1.0,342.0,9.0,0.0,0.0,18,1,0.0,4.0,27648.0,1.0,ad09fe24,e248b509,2da5ea34,e6b5b2ee,2e776fbd,6fcd6dcb,fa9fb1ff,dc8dd8a1,e0d906cb,b8fdbf59,75211e8d,12716184,f4fc3c5e,,62c3431f,,,b8170bba,9512c20b,9b6712fa,e611fb63,27fc20dc,,201d7147,57e36578,b757e957,day_0
1,2,0,3.0,239.0,3.0,,8.0,0.0,0.0,139,0,0.0,2.0,27.0,3.0,ad98e872,cea68cd3,3b66b2e0,f2463ffb,0a0044e1,6fcd6dcb,2731dac5,c0375b13,2e4e821f,62da11e3,14874876,8a01b158,a77a4a56,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,10c76e2c,30436bfc,e1be5ef2,day_0
2,4,0,3.0,124.0,39.0,398.0,3.0,0.0,0.0,1,40,0.0,1.0,21612.0,39.0,265366bf,6f5c7c41,6c8206cd,6521d620,be74ba14,6fcd6dcb,e14728f7,ab96c6b2,2e4e821f,e63d98b4,c939136f,bd549f0f,bf78d0d4,,3b972bfb,,,a1eb1511,9512c20b,47849e55,73b3f46d,d994ba60,,d3d5ac76,ff654802,b757e957,day_0
3,6,0,12.0,85.0,4.0,59.0,6.0,0.0,0.0,7,1,0.0,2.0,5878.0,4.0,ad98e872,3dbb483e,9a898c89,67ecc871,1315f676,6fcd6dcb,0e005bd7,54cd7262,2e4e821f,62da11e3,14874876,11a67268,a77a4a56,be4ee537,a63cedcf,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,893704a5,ff654802,e1be5ef2,day_0
4,8,0,,2.0,,,,,,-1,0,,,6042.0,,8ee97e24,edd9cefc,8cf5944d,67ecc871,46e15074,6fcd6dcb,f80385eb,fae7b071,25dd8f9a,acf26a26,38a9b7e4,12716184,e07cc34d,,f600f034,,,b8170bba,9512c20b,c07b84a7,323fe50a,504569ef,,1aa62c4a,0b3c06d0,2ccea557,day_0
5,10,0,60.0,262.0,5.0,,6.0,0.0,0.0,67,0,0.0,1.0,8513.0,9.0,ad98e872,cea68cd3,afea442f,f2463ffb,664ff944,6fcd6dcb,3580aa21,c0375b13,2e4e821f,62da11e3,14874876,95981d1f,a77a4a56,be4ee537,fdc9e405,4cdc3efa,d20856aa,7232d217,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,7caf609c,30436bfc,e1be5ef2,day_0
6,12,0,228.0,2182.0,12.0,,15.0,0.0,0.0,34,21,0.0,8.0,574.0,158.0,ad98e872,cea68cd3,36de22be,6faef306,1315f676,6fcd6dcb,23f394eb,c0375b13,2e4e821f,62da11e3,14874876,a47be85a,d49eb1df,be4ee537,fdc9e405,4cdc3efa,d20856aa,a1eb1511,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,e633528b,30436bfc,e1be5ef2,day_0
7,14,0,1.0,736.0,0.0,273.0,18.0,0.0,0.0,21,10,0.0,6.0,4263.0,10.0,788a5d5b,0f636fe1,93e42a93,6faef306,c6fc10d3,6fcd6dcb,2d19a3da,cd5745bc,2e4e821f,16ec16d6,fa478aa9,11b53668,a77a4a56,,1748f7cb,,,b8170bba,9512c20b,ef426d46,0683bc6f,6e86ac23,,2fb4a3d0,30436bfc,b757e957,day_0
8,16,0,4.0,,2.0,,,0.0,0.0,1,2,0.0,,7.0,2.0,788a5d5b,0f636fe1,0078b677,dfe0b238,792f3741,6fcd6dcb,42fbc26c,cd5745bc,2e4e821f,16ec16d6,fa478aa9,12716184,e07cc34d,,1748f7cb,,,a1eb1511,9512c20b,ef426d46,0683bc6f,6e86ac23,,b603601c,30436bfc,b757e957,day_0
9,18,0,1.0,19.0,,,,0.0,0.0,169,6,0.0,,18643.0,,93784de6,32c957a2,bd994cad,f2463ffb,7ef5bf25,6fcd6dcb,71e12aec,9fe3060b,2e4e821f,a4354c95,a78c2776,12716184,e07cc34d,be4ee537,b4ede6e4,4cdc3efa,753da5f3,3c328ca5,9512c20b,8fba8671,98b47a15,1e7af622,533dc96d,c1bd1d6f,991321ea,2ccea557,day_0
10,20,0,,346.0,1.0,335.0,2.0,0.0,0.0,4,7,0.0,1.0,28644.0,1.0,788a5d5b,0f636fe1,3cee6ba8,f2463ffb,664ff944,919c68e4,4628641f,cd5745bc,7cee8453,16ec16d6,fa478aa9,df708b29,a77a4a56,,1748f7cb,,,628f1b8d,9512c20b,ef426d46,0683bc6f,6e86ac23,,7cc1f2ce,30436bfc,b757e957,day_0
11,22,0,18.0,152.0,7.0,,4.0,0.0,0.0,100,36,0.0,2.0,1710.0,15.0,ad98e872,cea68cd3,f2485bfb,386c49ee,f2069730,6fcd6dcb,b6db430e,c0375b13,2e4e821f,62da11e3,14874876,4db77c3a,f4fc3c5e,be4ee537,fdc9e405,4cdc3efa,d20856aa,cd48bfa2,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,f4a36b2d,30436bfc,e1be5ef2,day_0
12,24,0,12.0,118.0,12.0,21.0,37.0,0.0,0.0,1,14,0.0,10.0,6914.0,12.0,265366bf,59e6bfe3,fe54dcfd,b0c5e548,513057af,6fcd6dcb,d935d694,d4612c5c,25dd8f9a,e63d98b4,c939136f,1ab7a1bf,f4fc3c5e,,1de734ba,,,b6bc86c5,9512c20b,47849e55,73b3f46d,d994ba60,,118885ac,321935cd,b757e957,day_0
13,26,0,2.0,577.0,2.0,9.0,,1.0,0.0,3,2,1.0,,707.0,2.0,265366bf,b1feb7c7,e0c6ad73,b17e4793,729e35ab,6fcd6dcb,d3d7aec0,ab96c6b2,7cee8453,e63d98b4,c939136f,71fd8dc8,00c5ffb7,,5cbc7f6a,,,b8170bba,108a0699,47849e55,73b3f46d,d994ba60,,9f4e19ae,ff654802,2ba8d787,day_0
14,28,0,5.0,70.0,3.0,,16.0,0.0,0.0,48,0,0.0,2.0,2921.0,3.0,ad98e872,cea68cd3,097a2772,67ecc871,1315f676,6fcd6dcb,3dc0be16,c0375b13,2e4e821f,62da11e3,14874876,fdea232f,f4fc3c5e,be4ee537,fdc9e405,4cdc3efa,d20856aa,b8170bba,cc7a7d35,156cbe87,96fbe197,15562d5d,d3df7183,fd4b5ef6,30436bfc,e1be5ef2,day_0
